file,seq2pardiff,civl,archer,seq2+civl,seq2+arch,civl+arch,seq2+arch+civl
3,1,0,0,,,,
18,1,1,0, ,1,,
25,1,1,1,1,1,1,1
31,0,1,1,,,,
32,0,1,1,,,1,
33,0,1,1,,,1,
62,1,1,0,1,1,,
68,1,0,0, , ,,
73,1,0,0,,,,
100,1,0,0,,,,
101,1,0,0,,,,
114,0,1,0,,,,
117,1,0,0,,,,
118,1,0,0,,,,
135,0,1,0,,,,
160,1,0,1,,,,
171,1,1,0, ,1,,
187,1,0,0,,,,
193,0,1,0,,,,
194,0,1,0,,,,
208,1,0,0,,,,
209,1,0,0,,,,
237,1,0,0,,,,
242,1,0,0,,,,
245,1,0,0,,,,
277,1,0,0,,,,
287,1,1,1,1,1,1,1
,20,12,6,3,5,4,2
